sentence,difficulty,encoded_diff,tokens,tokens_no_stop,token_count,nb_verbs,nb_nouns,nb_adj,tfidf_score
"Le bébé pleure depuis des heures, il a faim.",A1,0,"['Le', 'bébé', 'pleure', 'depuis', 'des', 'heures', ',', 'il', 'a', 'faim', '.']","['bébé', 'pleure', 'heures', ',', 'faim', '.']",6,2,3,0,2.5658234064143324
"Les cadeaux seront déposés à son pied, le soir du 24 ou le 25 décembre au matin",B2,3,"['Les', 'cadeaux', 'seront', 'déposés', 'à', 'son', 'pied', ',', 'le', 'soir', 'du', '24', 'ou', 'le', '25', 'décembre', 'au', 'matin']","['cadeaux', 'déposés', 'pied', ',', 'soir', '24', '25', 'décembre', 'matin']",9,1,5,0,3.659573694619618
"Dans cette ville, tout comme à Paris et Londres, les autorités ont déjà décidé de mettre en place des règles pour limiter la durée de location.",B1,2,"['Dans', 'cette', 'ville', ',', 'tout', 'comme', 'à', 'Paris', 'et', 'Londres', ',', 'les', 'autorités', 'ont', 'déjà', 'décidé', 'de', 'mettre', 'en', 'place', 'des', 'règles', 'pour', 'limiter', 'la', 'durée', 'de', 'location', '.']","['ville', ',', 'Paris', 'Londres', ',', 'autorités', 'décidé', 'mettre', 'place', 'règles', 'limiter', 'durée', 'location', '.']",14,3,6,2,4.522144289092717
"vec ses livreurs à vélo aux énormes sacs à dos carrés, l'entreprise est devenue incontournable pendant la pandémie.",C1,4,"['vec', 'ses', 'livreurs', 'à', 'vélo', 'aux', 'énormes', 'sacs', 'à', 'dos', 'carrés', ',', ""l'"", 'entreprise', 'est', 'devenue', 'incontournable', 'pendant', 'la', 'pandémie', '.']","['vec', 'livreurs', 'vélo', 'énormes', 'sacs', 'dos', 'carrés', ',', 'entreprise', 'devenue', 'incontournable', 'pandémie', '.']",13,1,6,0,3.7952899668850257
Depuis combien de temps?,A2,1,"['Depuis', 'combien', 'de', 'temps', '?']","['temps', '?']",2,0,1,1,1.8473044281849897
Idem pour les voies technologiques.,C1,4,"['Idem', 'pour', 'les', 'voies', 'technologiques', '.']","['Idem', 'voies', 'technologiques', '.']",4,0,1,0,2.022668350084595
"Il savait déjà qu'il faut éviter les aliments grossiers, les lourdes venaisons et les boissons fermentées ; il connaissait aussi l'influence bienfaisante des bains fréquents, qui gardent la peau saine et reposent des fatigues.",B2,3,"['Il', 'savait', 'déjà', ""qu'"", 'il', 'faut', 'éviter', 'les', 'aliments', 'grossiers', ',', 'les', 'lourdes', 'venaisons', 'et', 'les', 'boissons', 'fermentées', ';', 'il', 'connaissait', 'aussi', ""l'"", 'influence', 'bienfaisante', 'des', 'bains', 'fréquents', ',', 'qui', 'gardent', 'la', 'peau', 'saine', 'et', 'reposent', 'des', 'fatigues', '.']","['savait', 'faut', 'éviter', 'aliments', 'grossiers', ',', 'lourdes', 'venaisons', 'boissons', 'fermentées', ';', 'connaissait', 'influence', 'bienfaisante', 'bains', 'fréquents', ',', 'gardent', 'peau', 'saine', 'reposent', 'fatigues', '.']",23,7,7,2,5.097210693258091
C'est la jungle.,A2,1,"[""C'"", 'est', 'la', 'jungle', '.']","['jungle', '.']",2,0,1,0,1.429138344658211
"SpaceX, officiellement Space Exploration Technologies Corporation, est une entreprise américaine spécialisée dans le domaine de l'astronautique et du vol spatial.",C1,4,"['SpaceX', ',', 'officiellement', 'Space', 'Exploration', 'Technologies', 'Corporation', ',', 'est', 'une', 'entreprise', 'américaine', 'spécialisée', 'dans', 'le', 'domaine', 'de', ""l'"", 'astronautique', 'et', 'du', 'vol', 'spatial', '.']","['SpaceX', ',', 'officiellement', 'Space', 'Exploration', 'Technologies', 'Corporation', ',', 'entreprise', 'américaine', 'spécialisée', 'domaine', 'astronautique', 'vol', 'spatial', '.']",16,1,5,1,4.077934616222022
La merveilleuse paix de cet été endormi entrait en moi comme une marée.,C2,5,"['La', 'merveilleuse', 'paix', 'de', 'cet', 'été', 'endormi', 'entrait', 'en', 'moi', 'comme', 'une', 'marée', '.']","['merveilleuse', 'paix', 'été', 'endormi', 'entrait', 'marée', '.']",7,2,3,0,3.2374519807951865
"""Aujourd'hui nous magnifions les robots pour faciliter leur future acceptation sociale"", relève le psychiatre Serge Tisseron de l'université Paris-VII, dans le magazine Les dossiers de la Recherche. Mais cette forte empathie peut avoir son revers.",C2,5,"['""', ""Aujourd'hui"", 'nous', 'magnifions', 'les', 'robots', 'pour', 'faciliter', 'leur', 'future', 'acceptation', 'sociale', '""', ',', 'relève', 'le', 'psychiatre', 'Serge', 'Tisseron', 'de', ""l'"", 'université', 'Paris', '-', 'VII', ',', 'dans', 'le', 'magazine', 'Les', 'dossiers', 'de', 'la', 'Recherche', '.', 'Mais', 'cette', 'forte', 'empathie', 'peut', 'avoir', 'son', 'revers', '.']","['""', ""Aujourd'hui"", 'magnifions', 'robots', 'faciliter', 'future', 'acceptation', 'sociale', '""', ',', 'relève', 'psychiatre', 'Serge', 'Tisseron', 'université', 'Paris', '-', 'VII', ',', 'magazine', 'dossiers', 'Recherche', '.', 'forte', 'empathie', 'revers', '.']",27,5,11,1,5.5345244744694675
Les dernières semaines avant Noël se déroulent dans une ambiance joyeuse et féérique,B2,3,"['Les', 'dernières', 'semaines', 'avant', 'Noël', 'se', 'déroulent', 'dans', 'une', 'ambiance', 'joyeuse', 'et', 'féérique']","['dernières', 'semaines', 'Noël', 'déroulent', 'ambiance', 'joyeuse', 'féérique']",7,1,2,0,3.307386321787423
Or ces mêmes statistiques en témoignent :on trouve,C1,4,"['Or', 'ces', 'mêmes', 'statistiques', 'en', 'témoignent', ':', 'on', 'trouve']","['statistiques', 'témoignent', ':', 'trouve']",4,2,1,0,2.691912365164725
"Mais, déjà, le commerce équitable commence à être récupéré par des entrepreneurs au nez creux et peu soucieux de respecter les critères fondamentaux, trop contraignants.",C1,4,"['Mais', ',', 'déjà', ',', 'le', 'commerce', 'équitable', 'commence', 'à', 'être', 'récupéré', 'par', 'des', 'entrepreneurs', 'au', 'nez', 'creux', 'et', 'peu', 'soucieux', 'de', 'respecter', 'les', 'critères', 'fondamentaux', ',', 'trop', 'contraignants', '.']","[',', ',', 'commerce', 'équitable', 'commence', 'récupéré', 'entrepreneurs', 'nez', 'creux', 'soucieux', 'respecter', 'critères', 'fondamentaux', ',', 'trop', 'contraignants', '.']",17,3,4,3,4.5014059869741025
C'est les discussions d'aujourd'hui.,A2,1,"[""C'"", 'est', 'les', 'discussions', ""d'"", ""aujourd'hui"", '.']","['discussions', ""aujourd'hui"", '.']",3,0,1,1,2.052518786232648
Cette assurance me calma ; je sentis ma douleur s'apaiser.,C2,5,"['Cette', 'assurance', 'me', 'calma', ';', 'je', 'sentis', 'ma', 'douleur', ""s'"", 'apaiser', '.']","['assurance', 'calma', ';', 'sentis', 'douleur', 'apaiser', '.']",7,2,2,0,2.8395281179181335
Papa raconte une histoire aux enfants pour les endormir.,A1,0,"['Papa', 'raconte', 'une', 'histoire', 'aux', 'enfants', 'pour', 'les', 'endormir', '.']","['Papa', 'raconte', 'histoire', 'enfants', 'endormir', '.']",6,2,3,0,2.7687541700175187
"Mis en place par l'éco-organisme Récylum, ce dispositif intéresse en premier lieu les entreprises du bâtiment, mais aussi les industries et les collectivités territoriales, qui détiennent du matériel (alarmes incendie, caméras de surveillance) qui ne fonctionne plus.",B2,3,"['Mis', 'en', 'place', 'par', ""l'"", 'éco-organisme', 'Récylum', ',', 'ce', 'dispositif', 'intéresse', 'en', 'premier', 'lieu', 'les', 'entreprises', 'du', 'bâtiment', ',', 'mais', 'aussi', 'les', 'industries', 'et', 'les', 'collectivités', 'territoriales', ',', 'qui', 'détiennent', 'du', 'matériel', '(', 'alarmes', 'incendie', ',', 'caméras', 'de', 'surveillance', ')', 'qui', 'ne', 'fonctionne', 'plus', '.']","['Mis', 'place', 'éco-organisme', 'Récylum', ',', 'dispositif', 'intéresse', 'lieu', 'entreprises', 'bâtiment', ',', 'industries', 'collectivités', 'territoriales', ',', 'détiennent', 'matériel', '(', 'alarmes', 'incendie', ',', 'caméras', 'surveillance', ')', 'fonctionne', '.']",26,4,13,3,5.467526600702409
J'en conclus que les Réalistes de talent devraient s'appeler plutôt des Illusionnistes.,C1,4,"[""J'"", 'en', 'conclus', 'que', 'les', 'Réalistes', 'de', 'talent', 'devraient', ""s'"", 'appeler', 'plutôt', 'des', 'Illusionnistes', '.']","['conclus', 'Réalistes', 'talent', 'devraient', 'appeler', 'Illusionnistes', '.']",7,3,3,1,3.093284456595034
"Vous ouvrîtes la boîte à musique et découvrîtes un bijou, serti de pierres précieuses multicolors.",C1,4,"['Vous', 'ouvrîtes', 'la', 'boîte', 'à', 'musique', 'et', 'découvrîtes', 'un', 'bijou', ',', 'serti', 'de', 'pierres', 'précieuses', 'multicolors', '.']","['ouvrîtes', 'boîte', 'musique', 'découvrîtes', 'bijou', ',', 'serti', 'pierres', 'précieuses', 'multicolors', '.']",11,2,4,1,3.396177803429775
"Si nous avions eu suffisament d'argent, nous aurions pris l'avion pour nous rendre à notre conférence sur les enjeux écologiques du siècle et ainsi participer activement au débat.",B2,3,"['Si', 'nous', 'avions', 'eu', 'suffisament', ""d'"", 'argent', ',', 'nous', 'aurions', 'pris', ""l'"", 'avion', 'pour', 'nous', 'rendre', 'à', 'notre', 'conférence', 'sur', 'les', 'enjeux', 'écologiques', 'du', 'siècle', 'et', 'ainsi', 'participer', 'activement', 'au', 'débat', '.']","['avions', 'suffisament', 'argent', ',', 'aurions', 'pris', 'avion', 'conférence', 'enjeux', 'écologiques', 'siècle', 'participer', 'activement', 'débat', '.']",15,4,6,3,4.6676924800039465
Je ne veux pas.,A1,0,"['Je', 'ne', 'veux', 'pas', '.']","['veux', '.']",2,1,0,2,1.8922870973945078
La journée est longue pour David qui attend le samedi toute la semaine.,A2,1,"['La', 'journée', 'est', 'longue', 'pour', 'David', 'qui', 'attend', 'le', 'samedi', 'toute', 'la', 'semaine', '.']","['journée', 'longue', 'David', 'attend', 'samedi', 'semaine', '.']",7,1,3,0,3.2260495306515784
"Nous souhaitons favoriser davantage la création et l'ouverture à d'autres publics"", explique Nathalie Perrin-Gilbert.",C1,4,"['Nous', 'souhaitons', 'favoriser', 'davantage', 'la', 'création', 'et', ""l'"", 'ouverture', 'à', ""d'"", 'autres', 'publics', '""', ',', 'explique', 'Nathalie', 'Perrin', '-', 'Gilbert', '.']","['souhaitons', 'favoriser', 'davantage', 'création', 'ouverture', 'publics', '""', ',', 'explique', 'Nathalie', 'Perrin', '-', 'Gilbert', '.']",14,3,3,1,3.5431622672331895
Je me réjouis de te revoir pendant les vacances.,A2,1,"['Je', 'me', 'réjouis', 'de', 'te', 'revoir', 'pendant', 'les', 'vacances', '.']","['réjouis', 'revoir', 'vacances', '.']",4,2,1,0,2.7416774705473577
"De fait, les relations de l'individu au groupe, du privé au collectif, demeurent complexes dans l'Hexagone.",B2,3,"['De', 'fait', ',', 'les', 'relations', 'de', ""l'"", 'individu', 'au', 'groupe', ',', 'du', 'privé', 'au', 'collectif', ',', 'demeurent', 'complexes', 'dans', ""l'"", 'Hexagone', '.']","[',', 'relations', 'individu', 'groupe', ',', 'privé', 'collectif', ',', 'demeurent', 'complexes', 'Hexagone', '.']",12,1,6,0,3.51025905127249
Il était une fois une petite fille de village.,A2,1,"['Il', 'était', 'une', 'fois', 'une', 'petite', 'fille', 'de', 'village', '.']","['fois', 'petite', 'fille', 'village', '.']",5,0,3,0,2.676146328130339
L'addition s'il-vous-plaît !,A1,0,"[""L'"", 'addition', ""s'"", 'il', '-', 'vous', '-', 'plaît', '!']","['addition', '-', '-', 'plaît', '!']",5,1,1,0,1.8517221478161208
"Ils doivent également présenter, le cas échéant, les documents justifiant de l'objet et des conditions de leur séjour",C1,4,"['Ils', 'doivent', 'également', 'présenter', ',', 'le', 'cas', 'échéant', ',', 'les', 'documents', 'justifiant', 'de', ""l'"", 'objet', 'et', 'des', 'conditions', 'de', 'leur', 'séjour']","['présenter', ',', 'cas', 'échéant', ',', 'documents', 'justifiant', 'objet', 'conditions', 'séjour']",10,3,6,1,3.810697186965832
Un petit garçon : On essaye de leur parler,A2,1,"['Un', 'petit', 'garçon', ':', 'On', 'essaye', 'de', 'leur', 'parler']","['petit', 'garçon', ':', 'essaye']",4,2,1,0,2.5801750457779824
Le couple a bien fait d'évacuer,A2,1,"['Le', 'couple', 'a', 'bien', 'fait', ""d'"", 'évacuer']","['couple', 'bien', 'évacuer']",3,2,1,1,2.0538247531758964
"Lorsqu'elle eut revu son premier amoureux, son coeur battit follement",C2,5,"[""Lorsqu'"", 'elle', 'eut', 'revu', 'son', 'premier', 'amoureux', ',', 'son', 'coeur', 'battit', 'follement']","[""Lorsqu'"", 'eut', 'revu', 'amoureux', ',', 'coeur', 'battit', 'follement']",8,2,2,1,3.0891697743475923
"De fait, en scindant son enseignement supérieur en deux systèmes concurrents, la France a créé une hiérarchie dans toutes les têtes: la grande école est synonyme de réussite, l'université de rebut.",C2,5,"['De', 'fait', ',', 'en', 'scindant', 'son', 'enseignement', 'supérieur', 'en', 'deux', 'systèmes', 'concurrents', ',', 'la', 'France', 'a', 'créé', 'une', 'hiérarchie', 'dans', 'toutes', 'les', 'têtes', ':', 'la', 'grande', 'école', 'est', 'synonyme', 'de', 'réussite', ',', ""l'"", 'université', 'de', 'rebut', '.']","[',', 'scindant', 'enseignement', 'supérieur', 'systèmes', 'concurrents', ',', 'France', 'créé', 'hiérarchie', 'têtes', ':', 'grande', 'école', 'synonyme', 'réussite', ',', 'université', 'rebut', '.']",20,2,9,0,4.821678042646696
On le trouvera ridicule et ce sera une catastrophe.,B1,2,"['On', 'le', 'trouvera', 'ridicule', 'et', 'ce', 'sera', 'une', 'catastrophe', '.']","['trouvera', 'ridicule', 'catastrophe', '.']",4,1,1,0,2.7030541962979093
Qu'est-ce que vous avez comme tartes ?,A1,0,"[""Qu'"", 'est', '-ce', 'que', 'vous', 'avez', 'comme', 'tartes', '?']","['-ce', 'avez', 'tartes', '?']",4,1,1,0,2.5916185684139275
On partait de bonne heure pour ne pas être coincés dans les embouteillages,A2,1,"['On', 'partait', 'de', 'bonne', 'heure', 'pour', 'ne', 'pas', 'être', 'coincés', 'dans', 'les', 'embouteillages']","['partait', 'bonne', 'heure', 'coincés', 'embouteillages']",5,2,2,2,3.2231357969829864
La FAO (Organisation pour l'alimentation et l'agriculture) estime que 95 % des personnes victimes de sous-alimentation chronique vivent dans les pays en voie de développement.,C1,4,"['La', 'FAO', '(', 'Organisation', 'pour', ""l'"", 'alimentation', 'et', ""l'"", 'agriculture', ')', 'estime', 'que', '95', '%', 'des', 'personnes', 'victimes', 'de', 'sous-alimentation', 'chronique', 'vivent', 'dans', 'les', 'pays', 'en', 'voie', 'de', 'développement', '.']","['FAO', '(', 'Organisation', 'alimentation', 'agriculture', ')', 'estime', '95', '%', 'personnes', 'victimes', 'sous-alimentation', 'chronique', 'vivent', 'pays', 'voie', 'développement', '.']",18,2,11,0,4.222446405081688
"On vient d'acheter une résidence secondaire, au Pays basque, qui sera notre point de ralliement familial.",C1,4,"['On', 'vient', ""d'"", 'acheter', 'une', 'résidence', 'secondaire', ',', 'au', 'Pays', 'basque', ',', 'qui', 'sera', 'notre', 'point', 'de', 'ralliement', 'familial', '.']","['vient', 'acheter', 'résidence', 'secondaire', ',', 'Pays', 'basque', ',', 'point', 'ralliement', 'familial', '.']",12,2,3,0,3.7384866301280577
"L'échange, c'est-à-dire l'interaction verbale, se présente comme une co-construction constitutive de la dynamique du groupe ; c'est en tenant compte des interlocuteurs et de la façon dont ils se positionnent les uns vis-à-vis des autres, selon les objets et les enjeux des interactions, que l'on envisage d'analyser tant la variation des usages en présence que l'hétérogénéité constitutive du dire, dans cet espace.",C2,5,"[""L'"", 'échange', ',', ""c'"", 'est', '-', 'à', '-', 'dire', ""l'"", 'interaction', 'verbale', ',', 'se', 'présente', 'comme', 'une', 'co-construction', 'constitutive', 'de', 'la', 'dynamique', 'du', 'groupe', ';', ""c'"", 'est', 'en', 'tenant', 'compte', 'des', 'interlocuteurs', 'et', 'de', 'la', 'façon', 'dont', 'ils', 'se', 'positionnent', 'les', 'uns', 'vis-à-vis', 'des', 'autres', ',', 'selon', 'les', 'objets', 'et', 'les', 'enjeux', 'des', 'interactions', ',', 'que', ""l'"", 'on', 'envisage', ""d'"", 'analyser', 'tant', 'la', 'variation', 'des', 'usages', 'en', 'présence', 'que', ""l'"", 'hétérogénéité', 'constitutive', 'du', 'dire', ',', 'dans', 'cet', 'espace', '.']","['échange', ',', '-', '-', 'interaction', 'verbale', ',', 'présente', 'co-construction', 'constitutive', 'dynamique', 'groupe', ';', 'compte', 'interlocuteurs', 'positionnent', 'vis-à-vis', ',', 'objets', 'enjeux', 'interactions', ',', 'envisage', 'analyser', 'variation', 'usages', 'présence', 'hétérogénéité', 'constitutive', ',', 'espace', '.']",32,7,17,7,6.414704325681022
Mon mari a enfin trouvé une place d'architecte et travaille sur un important projet d'immeuble avec son équipe,B1,2,"['Mon', 'mari', 'a', 'enfin', 'trouvé', 'une', 'place', ""d'"", 'architecte', 'et', 'travaille', 'sur', 'un', 'important', 'projet', ""d'"", 'immeuble', 'avec', 'son', 'équipe']","['mari', 'trouvé', 'place', 'architecte', 'travaille', 'important', 'projet', 'immeuble', 'équipe']",9,2,6,1,3.8974178959558934
C'est somptueux.,A2,1,"[""C'"", 'est', 'somptueux', '.']","['somptueux', '.']",2,0,0,0,1.2490693094619156
Bonne chance !,A1,0,"['Bonne', 'chance', '!']","['Bonne', 'chance', '!']",3,0,1,0,1.4064461636616439
J'ouvrais la porte et le chien courait à l'extérieur.,A2,1,"[""J'"", 'ouvrais', 'la', 'porte', 'et', 'le', 'chien', 'courait', 'à', ""l'"", 'extérieur', '.']","['ouvrais', 'porte', 'chien', 'courait', 'extérieur', '.']",6,2,3,0,2.5369660509674343
"Mais qu'ils prétendent être les seuls acteurs légitimes pour définir et normaliser le commerce équitable, c'est nier les autres pratiques et refuser le débat avec tous les acteurs de la société civile, ce qui est inadmissible.",C1,4,"['Mais', ""qu'"", 'ils', 'prétendent', 'être', 'les', 'seuls', 'acteurs', 'légitimes', 'pour', 'définir', 'et', 'normaliser', 'le', 'commerce', 'équitable', ',', ""c'"", 'est', 'nier', 'les', 'autres', 'pratiques', 'et', 'refuser', 'le', 'débat', 'avec', 'tous', 'les', 'acteurs', 'de', 'la', 'société', 'civile', ',', 'ce', 'qui', 'est', 'inadmissible', '.']","['prétendent', 'acteurs', 'légitimes', 'définir', 'normaliser', 'commerce', 'équitable', ',', 'nier', 'pratiques', 'refuser', 'débat', 'acteurs', 'société', 'civile', ',', 'inadmissible', '.']",18,5,6,0,5.092849420339563
"Non, Je ne parle pas français.",A1,0,"['Non', ',', 'Je', 'ne', 'parle', 'pas', 'français', '.']","['Non', ',', 'français', '.']",4,1,0,3,2.3527241495655846
Il est tombé malade l'année précédant son mariage.,B2,3,"['Il', 'est', 'tombé', 'malade', ""l'"", 'année', 'précédant', 'son', 'mariage', '.']","['tombé', 'malade', 'année', 'précédant', 'mariage', '.']",6,2,2,0,2.6298042165977127
Les maires ont ainsi voulu montrer qu'ils les avaient à l'oeil.,B1,2,"['Les', 'maires', 'ont', 'ainsi', 'voulu', 'montrer', ""qu'"", 'ils', 'les', 'avaient', 'à', ""l'"", 'oeil', '.']","['maires', 'voulu', 'montrer', 'oeil', '.']",5,3,2,1,3.0453248376211555
"Il allait devoir passer l'hiver ici, dans la forêt, en attendant d'être guérit.",B1,2,"['Il', 'allait', 'devoir', 'passer', ""l'"", 'hiver', 'ici', ',', 'dans', 'la', 'forêt', ',', 'en', 'attendant', ""d'"", 'être', 'guérit', '.']","['allait', 'devoir', 'passer', 'hiver', 'ici', ',', 'forêt', ',', 'attendant', 'guérit', '.']",11,5,2,1,3.358511447482841
Il est très fâché parce qu'elle ne lui a pas répondu au téléphone.,A1,0,"['Il', 'est', 'très', 'fâché', 'parce', ""qu'"", 'elle', 'ne', 'lui', 'a', 'pas', 'répondu', 'au', 'téléphone', '.']","['fâché', 'répondu', 'téléphone', '.']",4,2,1,3,3.3424787143847414
"Celui-ci, ancien soldat, devinant d'abord le plan de campagne de son interlocuteur, parla des protections qu'avait son maître, ajoutant que, certes, on ne lui chiperait pas ses beaux chevaux.",C1,4,"['Celui', '-', 'ci', ',', 'ancien', 'soldat', ',', 'devinant', ""d'"", 'abord', 'le', 'plan', 'de', 'campagne', 'de', 'son', 'interlocuteur', ',', 'parla', 'des', 'protections', ""qu'"", 'avait', 'son', 'maître', ',', 'ajoutant', 'que', ',', 'certes', ',', 'on', 'ne', 'lui', 'chiperait', 'pas', 'ses', 'beaux', 'chevaux', '.']","['-', ',', 'ancien', 'soldat', ',', 'devinant', 'plan', 'campagne', 'interlocuteur', ',', 'parla', 'protections', 'maître', ',', 'ajoutant', ',', ',', 'chiperait', 'beaux', 'chevaux', '.']",21,5,8,4,5.074551581375683
Je ne te crois pas.,A1,0,"['Je', 'ne', 'te', 'crois', 'pas', '.']","['crois', '.']",2,1,0,2,2.1150179462866787
Le journal a été emporté par un coup de vent.,B1,2,"['Le', 'journal', 'a', 'été', 'emporté', 'par', 'un', 'coup', 'de', 'vent', '.']","['journal', 'été', 'emporté', 'coup', 'vent', '.']",6,1,3,0,2.700461529263182
"Les optimistes soulignent qu'il ne représente encore qu'une part infinitésimale des échanges internationaux mais que le concept est ""porteur"".",C1,4,"['Les', 'optimistes', 'soulignent', ""qu'"", 'il', 'ne', 'représente', 'encore', ""qu'"", 'une', 'part', 'infinitésimale', 'des', 'échanges', 'internationaux', 'mais', 'que', 'le', 'concept', 'est', '""', 'porteur', '""', '.']","['optimistes', 'soulignent', 'représente', 'part', 'infinitésimale', 'échanges', 'internationaux', 'concept', '""', 'porteur', '""', '.']",12,2,4,2,4.042696638540475
"Sans y penser, j'ai fait des erreurs !",B1,2,"['Sans', 'y', 'penser', ',', ""j'"", 'ai', 'fait', 'des', 'erreurs', '!']","['penser', ',', 'erreurs', '!']",4,2,1,0,2.311842512225814
"Quand tu sors de l'ascenseur, tourne à droite et encore à droite.",A2,1,"['Quand', 'tu', 'sors', 'de', ""l'"", 'ascenseur', ',', 'tourne', 'à', 'droite', 'et', 'encore', 'à', 'droite', '.']","['sors', 'ascenseur', ',', 'tourne', 'droite', 'droite', '.']",7,2,3,1,2.602586160642138
"Et il regardait tous ces hommes attablés et buvant, tous ces hommes qui pouvaient se désaltérer tant qu'il leur plaisait.",B2,3,"['Et', 'il', 'regardait', 'tous', 'ces', 'hommes', 'attablés', 'et', 'buvant', ',', 'tous', 'ces', 'hommes', 'qui', 'pouvaient', 'se', 'désaltérer', 'tant', ""qu'"", 'il', 'leur', 'plaisait', '.']","['regardait', 'hommes', 'attablés', 'buvant', ',', 'hommes', 'pouvaient', 'désaltérer', 'plaisait', '.']",10,6,2,1,3.7667477560648917
Elle a préparé les photocopies pour les participants à la réunion de l'après-midi,B1,2,"['Elle', 'a', 'préparé', 'les', 'photocopies', 'pour', 'les', 'participants', 'à', 'la', 'réunion', 'de', ""l'"", 'après-midi']","['préparé', 'photocopies', 'participants', 'réunion', 'après-midi']",5,1,4,0,2.994264065325509
"Ainsi, Madame, qui est irlandaise et vit à lieu, témoigne : ""En France, si je parle anglais à mon fils, il me répond plutôt en français.",B1,2,"['Ainsi', ',', 'Madame', ',', 'qui', 'est', 'irlandaise', 'et', 'vit', 'à', 'lieu', ',', 'témoigne', ':', '""', 'En', 'France', ',', 'si', 'je', 'parle', 'anglais', 'à', 'mon', 'fils', ',', 'il', 'me', 'répond', 'plutôt', 'en', 'français', '.']","[',', 'Madame', ',', 'irlandaise', 'vit', 'lieu', ',', 'témoigne', ':', '""', 'France', ',', 'anglais', 'fils', ',', 'répond', 'français', '.']",18,4,5,2,4.443407791935319
Capacités intellectuelles ou problèmes d'orientation ?,B2,3,"['Capacités', 'intellectuelles', 'ou', 'problèmes', ""d'"", 'orientation', '?']","['Capacités', 'intellectuelles', 'problèmes', 'orientation', '?']",5,0,3,0,2.1754500767904696
A affronter ce monde et l'améliorer.,A2,1,"['A', 'affronter', 'ce', 'monde', 'et', ""l'"", 'améliorer', '.']","['affronter', 'monde', 'améliorer', '.']",4,2,1,0,2.042757997317262
"Deux guerres mondiales, en 1914 et 1939, convainquirent cependant de nombreux Européens que le Concert européen avait échoué et ne parvenait plus à gérer les affaires du continent.",C2,5,"['Deux', 'guerres', 'mondiales', ',', 'en', '1914', 'et', '1939', ',', 'convainquirent', 'cependant', 'de', 'nombreux', 'Européens', 'que', 'le', 'Concert', 'européen', 'avait', 'échoué', 'et', 'ne', 'parvenait', 'plus', 'à', 'gérer', 'les', 'affaires', 'du', 'continent', '.']","['guerres', 'mondiales', ',', '1914', '1939', ',', 'convainquirent', 'Européens', 'Concert', 'européen', 'échoué', 'parvenait', 'gérer', 'affaires', 'continent', '.']",16,4,5,3,4.696758155291086
Il y a des cours de portugais.,A1,0,"['Il', 'y', 'a', 'des', 'cours', 'de', 'portugais', '.']","['cours', 'portugais', '.']",3,1,1,0,1.9076965608919774
Les spécialistes de la violence chez les adolescents rappellent qu'il est dangereux de les considérer comme une armée menaçante.,B1,2,"['Les', 'spécialistes', 'de', 'la', 'violence', 'chez', 'les', 'adolescents', 'rappellent', ""qu'"", 'il', 'est', 'dangereux', 'de', 'les', 'considérer', 'comme', 'une', 'armée', 'menaçante', '.']","['spécialistes', 'violence', 'adolescents', 'rappellent', 'dangereux', 'considérer', 'armée', 'menaçante', '.']",9,2,4,0,3.796675661344516
"Malheureusement, il ne s'agit que de moyenne.",B1,2,"['Malheureusement', ',', 'il', 'ne', ""s'"", 'agit', 'que', 'de', 'moyenne', '.']","['Malheureusement', ',', 'agit', 'moyenne', '.']",5,1,1,2,2.389731285444136
Le paysage devient tout blanc à cause de la neige et de la glace.,A1,0,"['Le', 'paysage', 'devient', 'tout', 'blanc', 'à', 'cause', 'de', 'la', 'neige', 'et', 'de', 'la', 'glace', '.']","['paysage', 'devient', 'blanc', 'cause', 'neige', 'glace', '.']",7,1,4,0,3.103928576824937
"L'après-midi, j'ai encore beaucoup de choses à faire",A2,1,"[""L'"", 'après-midi', ',', ""j'"", 'ai', 'encore', 'beaucoup', 'de', 'choses', 'à', 'faire']","['après-midi', ',', 'beaucoup', 'choses', 'faire']",5,2,2,2,2.7224183229022154
"De fait, la nature peut être, par l'homme, changée tout à fait, transformée, ébranlée jusqu'en ses fondements, et c'est pourquoi il sied de réhabiliter le mot de magie, en lui redonnant le sens honorable qu'il avait autrefois et en désignant par là une science justement ambitieuse qui, de la connaissance des formes cachées, déduit des opérations étonnantes.",C2,5,"['De', 'fait', ',', 'la', 'nature', 'peut', 'être', ',', 'par', ""l'"", 'homme', ',', 'changée', 'tout', 'à', 'fait', ',', 'transformée', ',', 'ébranlée', ""jusqu'"", 'en', 'ses', 'fondements', ',', 'et', ""c'"", 'est', 'pourquoi', 'il', 'sied', 'de', 'réhabiliter', 'le', 'mot', 'de', 'magie', ',', 'en', 'lui', 'redonnant', 'le', 'sens', 'honorable', ""qu'"", 'il', 'avait', 'autrefois', 'et', 'en', 'désignant', 'par', 'là', 'une', 'science', 'justement', 'ambitieuse', 'qui', ',', 'de', 'la', 'connaissance', 'des', 'formes', 'cachées', ',', 'déduit', 'des', 'opérations', 'étonnantes', '.']","[',', 'nature', ',', 'homme', ',', 'changée', ',', 'transformée', ',', 'ébranlée', ""jusqu'"", 'fondements', ',', 'sied', 'réhabiliter', 'mot', 'magie', ',', 'redonnant', 'sens', 'honorable', 'autrefois', 'désignant', 'science', 'justement', 'ambitieuse', ',', 'connaissance', 'formes', 'cachées', ',', 'déduit', 'opérations', 'étonnantes', '.']",35,12,12,4,6.492589621573426
